0
0 4 8
9 61 4
10 5 8
10 8 8
10 15 1
10 16 5
10 17 4
10 25 1
10 26 4
10 27 1
10 28 4
10 37 2
10 38 2
10 52 2
10 53 2
10 54 2
10 58 2
10 59 2
10 60 2
11 3 8
11 4 9
11 5 15
11 6 4
11 7 1
11 8 15
11 9 12
11 10 8
11 11 8
11 12 8
11 13 8
11 14 8
11 15 1
11 16 13
11 17 4
11 24 8
11 25 9
11 26 4
11 27 1
11 28 12
11 29 8
12 3 2
12 4 2
12 5 2
12 8 2
12 9 2
12 10 2
12 11 2
12 12 2
12 13 2
12 14 2
12 16 2
12 24 2
12 25 2
12 28 2
12 29 2
12 37 8
12 38 8
12 39 8
12 41 8
12 42 8
12 43 8
12 47 8
12 48 8
12 49 8
12 50 8
12 55 8
12 56 8
12 57 8
13 3 8
13 8 8
13 9 8
13 11 8
13 12 8
13 13 8
13 14 8
13 16 8
13 24 8
13 25 8
13 28 8
13 29 8
13 35 8
13 36 9
13 37 15
13 38 7
13 39 15
13 40 5
13 41 15
13 42 7
13 43 15
13 44 12
13 45 8
13 46 1
13 47 15
13 48 6
13 49 3
13 50 15
13 51 12
13 52 8
13 53 8
13 54 9
13 55 15
13 56 7
13 57 15
13 58 12
13 61 8
13 62 8
13 63 8
14 3 2
14 7 1
14 8 15
14 9 6
14 11 2
14 12 2
14 13 2
14 14 2
14 15 1
14 16 7
14 17 4
14 24 2
14 25 3
14 26 4
14 27 1
14 28 6
14 29 2
14 34 1
14 35 15
14 36 6
14 37 2
14 39 2
14 41 2
14 43 2
14 44 2
14 45 2
14 46 1
14 47 6
14 50 2
14 51 2
14 52 2
14 53 2
14 54 2
14 55 2
14 57 2
14 58 2
14 61 2
14 62 2
14 63 2
15 8 2
15 15 1
15 16 5
15 17 4
15 25 1
15 26 4
15 27 1
15 28 4
15 34 1
15 35 14
15 45 1
15 46 5
15 47 4
15 59 8
15 61 8
15 62 8
16 15 1
16 16 5
16 17 4
16 34 1
16 35 15
16 36 4
16 45 1
16 46 5
16 47 4
16 58 9
16 59 6
16 61 3
16 62 15
16 63 4
17 15 1
17 16 5
17 17 4
17 35 10
17 45 9
17 46 5
17 47 4
17 52 8
17 53 8
17 54 8
17 55 8
17 56 8
17 57 9
17 58 15
17 59 4
17 62 3
17 63 4
18 15 9
18 16 5
18 17 4
18 34 1
18 35 15
18 36 4
18 44 1
18 45 15
18 46 5
18 47 4
18 51 9
18 52 15
18 53 6
18 54 2
18 55 2
18 56 2
18 57 2
18 58 2
18 62 1
18 63 4
19 14 9
19 15 15
19 16 13
19 17 4
19 34 1
19 35 14
19 44 1
19 45 6
19 46 1
19 47 4
19 50 1
19 51 15
19 52 6
19 62 1
19 63 4
20 13 9
20 14 15
20 15 15
20 16 15
20 17 4
20 34 1
20 35 15
20 36 12
20 37 8
20 38 8
20 39 8
20 40 8
20 41 8
20 42 8
20 43 8
20 44 9
20 45 4
20 46 1
20 47 12
20 50 1
20 51 15
20 52 4
20 62 9
20 63 4
21 12 9
21 13 15
21 14 15
21 15 15
21 16 6
21 35 2
21 36 2
21 37 2
21 38 2
21 39 2
21 40 2
21 41 2
21 42 2
21 43 2
21 44 2
21 46 1
21 47 15
21 48 12
21 49 8
21 50 1
21 51 15
21 52 12
21 61 1
21 62 15
21 63 4
22 11 9
22 12 15
22 13 15
22 14 15
22 15 6
22 45 8
22 47 2
22 48 10
22 49 10
22 51 3
22 52 15
22 53 4
22 61 1
22 62 6
23 10 9
23 11 15
23 12 15
23 13 15
23 14 6
23 44 9
23 45 15
23 46 4
23 48 3
23 49 15
23 50 12
23 52 3
23 53 4
23 61 1
23 62 4
24 9 9
24 10 15
24 11 15
24 12 15
24 13 6
24 39 8
24 43 9
24 44 15
24 45 6
24 49 3
24 50 15
24 51 4
24 52 1
24 53 4
24 61 1
24 62 12
25 8 9
25 9 15
25 10 15
25 11 15
25 12 6
25 38 1
25 39 15
25 40 12
25 41 8
25 42 1
25 43 15
25 44 6
25 48 8
25 50 3
25 51 4
25 52 1
25 53 4
25 61 1
25 62 15
25 63 4
26 7 9
26 8 15
26 9 15
26 10 15
26 11 6
26 14 8
26 15 8
26 16 8
26 17 8
26 18 8
26 19 8
26 20 8
26 21 8
26 22 8
26 39 2
26 40 2
26 41 2
26 43 2
26 48 11
26 49 4
26 50 1
26 51 4
26 52 1
26 53 4
26 62 3
26 63 4
27 6 9
27 7 15
27 8 15
27 9 15
27 10 6
27 13 1
27 14 6
27 15 2
27 16 2
27 17 2
27 18 2
27 19 2
27 20 2
27 21 2
27 22 3
27 23 4
27 48 10
27 50 1
27 51 4
27 52 1
27 53 4
27 55 8
27 56 8
27 57 8
27 58 8
28 5 9
28 6 15
28 7 15
28 8 15
28 9 6
28 13 1
28 14 4
28 22 1
28 23 4
28 48 11
28 49 4
28 50 1
28 51 4
28 52 1
28 53 12
28 54 9
28 55 15
28 56 6
28 57 3
28 58 15
28 59 4
28 62 1
28 63 4
29 4 9
29 5 15
29 6 15
29 7 15
29 8 6
29 13 1
29 14 4
29 22 1
29 23 4
29 28 8
29 29 8
29 30 8
29 31 8
29 32 8
29 33 8
29 34 8
29 35 8
29 40 8
29 41 8
29 42 8
29 48 10
29 50 1
29 51 4
29 52 1
29 53 6
29 54 2
29 55 2
29 58 2
29 59 8
29 60 8
29 61 8
29 62 9
29 63 4
30 3 9
30 4 15
30 5 15
30 6 15
30 7 6
30 13 1
30 14 4
30 22 1
30 23 4
30 27 1
30 28 15
30 29 6
30 30 2
30 31 2
30 32 2
30 33 2
30 34 2
30 35 3
30 36 4
30 39 1
30 40 15
30 41 7
30 42 15
30 43 12
30 48 11
30 49 4
30 50 9
30 51 4
30 52 1
30 53 4
30 59 2
30 60 2
30 61 2
30 62 3
30 63 4
31 2 9
31 3 15
31 4 15
31 5 15
31 6 6
31 13 1
31 14 4
31 22 1
31 23 4
31 27 1
31 28 6
31 35 1
31 36 4
31 40 2
31 42 3
31 43 15
31 44 4
31 48 2
31 49 9
31 50 15
31 51 4
31 52 1
31 53 4
31 62 1
31 63 4
32 0 8
32 1 9
32 2 15
32 3 15
32 4 15
32 5 6
32 13 1
32 14 12
32 15 8
32 16 8
32 17 8
32 18 8
32 19 8
32 20 8
32 21 8
32 22 9
32 23 4
32 27 1
32 28 4
32 35 1
32 36 4
32 43 2
32 45 8
32 46 8
32 47 8
32 48 1
32 49 15
32 50 6
32 52 1
32 53 12
32 54 8
32 55 8
32 56 8
32 57 8
32 58 8
32 60 8
32 61 8
32 62 9
32 63 4
33 0 15
33 1 14
33 2 11
33 3 15
33 4 6
33 14 2
33 15 2
33 16 2
33 17 2
33 18 2
33 19 2
33 20 2
33 21 2
33 22 2
33 35 1
33 36 4
33 45 2
33 46 2
33 47 2
33 49 2
33 53 2
33 54 2
33 55 2
33 56 2
33 57 3
33 58 15
33 59 5
33 60 15
33 61 6
33 62 2
34 0 15
34 1 6
34 2 2
34 3 2
34 27 1
34 28 12
34 30 8
34 31 8
34 35 1
34 36 4
34 41 8
34 42 8
34 43 8
34 44 8
34 58 2
34 60 2
35 0 2
35 2 8
35 3 8
35 4 8
35 6 8
35 7 8
35 8 8
35 27 1
35 28 14
35 30 3
35 31 15
35 32 12
35 35 1
35 36 4
35 39 8
35 40 9
35 41 15
35 42 6
35 43 3
35 44 15
35 45 12
35 46 8
35 47 8
35 48 8
35 49 8
35 50 8
35 52 8
36 1 9
36 2 15
36 3 7
36 4 15
36 5 13
36 6 15
36 7 7
36 8 15
36 9 12
36 27 1
36 28 15
36 29 4
36 31 3
36 32 15
36 33 12
36 34 8
36 35 9
36 36 4
36 38 1
36 39 6
36 40 2
36 41 2
36 44 2
36 45 2
36 46 3
36 47 6
36 48 2
36 49 2
36 50 2
36 52 3
36 53 4
36 59 8
36 60 8
36 61 8
36 62 8
36 63 8
37 0 1
37 1 6
37 2 2
37 4 2
37 5 3
37 6 6
37 8 2
37 9 3
37 10 4
37 28 3
37 29 4
37 32 3
37 33 15
37 34 6
37 35 2
37 38 1
37 39 4
37 46 1
37 47 4
37 52 1
37 53 4
37 58 1
37 59 6
37 60 2
37 61 2
37 62 2
37 63 2
38 0 1
38 1 4
38 9 1
38 10 4
38 28 1
38 29 12
38 32 9
38 33 6
38 38 1
38 39 4
38 46 1
38 47 4
38 52 1
38 53 4
38 57 8
39 0 1
39 1 4
39 5 1
39 6 12
39 7 8
39 9 1
39 10 4
39 28 1
39 29 15
39 30 12
39 31 9
39 32 15
39 33 4
39 38 1
39 39 4
39 46 1
39 47 4
39 52 1
39 53 4
39 56 1
39 57 6
40 0 1
40 1 4
40 6 3
40 7 15
40 8 4
40 9 1
40 10 4
40 28 8
40 29 2
40 30 2
40 31 2
40 32 2
40 38 1
40 39 12
40 40 8
40 41 8
40 44 8
40 45 8
40 46 9
40 47 12
40 48 8
40 50 8
40 51 8
40 52 9
40 53 4
40 56 1
40 57 4
41 0 1
41 1 4
41 7 3
41 8 4
41 9 1
41 10 4
41 27 1
41 28 15
41 29 12
41 30 8
41 31 8
41 32 8
41 33 8
41 34 8
41 35 8
41 36 8
41 39 2
41 40 3
41 41 15
41 42 12
41 43 1
41 44 15
41 45 6
41 46 2
41 47 2
41 48 2
41 50 2
41 51 2
41 52 2
41 56 1
41 57 4
42 0 1
42 1 12
42 2 8
42 4 8
42 6 8
42 7 1
42 8 12
42 9 9
42 10 4
42 28 2
42 29 2
42 30 2
42 31 2
42 32 2
42 33 2
42 34 2
42 35 2
42 36 2
42 41 2
42 42 2
42 44 2
42 56 1
42 57 12
42 58 8
42 60 8
42 61 8
42 62 8
42 63 8
43 1 3
43 2 15
43 3 13
43 4 15
43 5 5
43 6 15
43 7 13
43 8 15
43 9 6
43 14 8
43 15 8
43 18 8
43 19 8
43 24 9
43 25 4
43 28 8
43 29 8
43 30 8
43 31 8
43 56 1
43 57 6
43 58 2
43 60 2
43 61 2
43 62 2
43 63 2
44 2 2
44 3 2
44 4 2
44 6 2
44 7 2
44 8 2
44 11 8
44 12 8
44 13 9
44 14 15
44 15 6
44 18 3
44 19 15
44 20 12
44 21 8
44 22 8
44 23 9
44 24 15
44 25 4
44 27 1
44 28 15
44 29 6
44 30 2
44 31 2
44 56 1
44 57 4
45 11 2
45 12 2
45 13 2
45 14 2
45 19 2
45 20 2
45 21 2
45 22 2
45 23 2
45 24 2
45 27 1
45 28 6
45 45 8
45 46 8
45 47 8
45 48 8
45 49 8
45 50 8
45 51 8
45 52 8
45 56 1
45 57 12
45 58 8
46 14 8
46 15 8
46 16 8
46 17 8
46 18 8
46 27 1
46 28 4
46 44 1
46 45 6
46 46 2
46 47 2
46 48 2
46 49 2
46 50 2
46 51 2
46 52 3
46 53 4
46 56 1
46 57 6
46 58 2
47 14 2
47 15 2
47 16 2
47 17 3
47 18 15
47 19 4
47 29 8
47 30 8
47 31 8
47 32 8
47 33 8
47 34 8
47 35 8
47 36 8
47 37 8
47 38 8
47 39 8
47 40 8
47 41 8
47 44 1
47 45 4
47 52 1
47 53 4
47 56 1
47 57 12
47 58 8
47 60 8
47 61 8
47 62 8
47 63 8
48 2 9
48 3 4
48 10 1
48 11 12
48 17 8
48 18 10
48 19 8
48 21 8
48 22 8
48 23 8
48 24 8
48 28 9
48 29 15
48 30 6
48 31 2
48 32 2
48 33 2
48 34 2
48 35 2
48 36 2
48 37 2
48 38 2
48 39 2
48 40 3
48 41 15
48 42 4
48 52 1
48 53 12
48 57 2
48 58 2
48 60 2
48 61 2
48 62 2
48 63 2
49 0 8
49 1 9
49 2 15
49 3 4
49 10 1
49 11 15
49 12 12
49 13 8
49 16 1
49 17 6
49 18 2
49 19 2
49 21 2
49 22 2
49 23 3
49 24 15
49 25 4
49 27 1
49 28 15
49 29 6
49 31 8
49 32 8
49 33 8
49 34 8
49 35 8
49 36 8
49 37 8
49 38 8
49 39 8
49 41 3
49 42 4
49 44 1
49 45 4
49 52 1
49 53 15
49 54 12
49 55 8
50 0 2
50 1 2
50 2 2
50 11 2
50 12 2
50 13 3
50 14 4
50 16 1
50 17 4
50 24 3
50 25 4
50 28 2
50 30 1
50 31 7
50 32 6
50 33 2
50 34 2
50 35 2
50 36 3
50 37 6
50 38 2
50 39 3
50 40 4
50 41 1
50 42 4
50 44 1
50 45 4
50 52 1
50 53 6
50 54 3
50 55 15
50 56 12
51 13 1
51 14 4
51 16 1
51 17 4
51 24 1
51 25 4
51 30 9
51 31 5
51 32 4
51 39 1
51 40 4
51 41 1
51 42 4
51 44 1
51 45 12
51 46 8
51 47 8
51 48 8
51 49 8
51 50 8
51 51 8
51 52 9
51 53 4
51 55 3
51 56 15
51 57 4
52 0 8
52 1 8
52 2 8
52 3 8
52 4 8
52 5 8
52 8 8
52 9 8
52 10 8
52 11 8
52 12 8
52 13 9
52 14 4
52 16 1
52 17 4
52 24 1
52 25 4
52 29 1
52 30 15
52 31 5
52 32 12
52 39 1
52 40 4
52 45 2
52 46 2
52 47 2
52 48 2
52 49 3
52 50 15
52 51 6
52 52 2
52 56 3
52 57 4
53 0 2
53 1 2
53 2 2
53 3 2
53 4 2
53 5 3
53 6 4
53 7 1
53 8 7
53 9 6
53 10 2
53 11 2
53 12 2
53 13 3
53 14 4
53 16 1
53 17 12
53 30 2
53 32 2
53 39 1
53 40 4
53 41 1
53 42 4
53 46 1
53 47 4
53 50 3
53 51 12
53 56 8
54 2 8
54 3 8
54 4 8
54 8 1
54 9 4
54 13 1
54 14 4
54 16 1
54 17 15
54 18 4
54 24 1
54 25 4
54 30 8
54 32 8
54 39 1
54 40 4
54 44 1
54 45 12
54 50 1
54 51 15
54 52 12
54 55 9
54 56 15
54 57 4
54 60 8
54 61 8
54 62 8
54 63 8
55 1 1
55 2 6
55 3 2
55 4 2
55 8 1
55 9 4
55 13 1
55 14 4
55 17 3
55 18 4
55 24 1
55 25 4
55 29 1
55 30 15
55 31 5
55 32 6
55 39 1
55 40 4
55 41 1
55 42 4
55 44 1
55 45 15
55 46 12
55 47 8
55 48 8
55 49 8
55 51 3
55 52 15
55 53 12
55 54 9
55 55 15
55 56 6
55 59 1
55 60 6
55 61 2
55 62 2
55 63 2
56 1 1
56 2 4
56 4 1
56 5 4
56 8 1
56 9 4
56 13 1
56 14 4
56 17 1
56 18 4
56 24 9
56 25 4
56 30 3
56 31 5
56 32 4
56 39 1
56 40 4
56 41 1
56 42 4
56 45 2
56 46 2
56 47 2
56 48 2
56 49 2
56 52 2
56 53 2
56 54 2
56 55 2
56 59 1
56 60 4
57 8 1
57 9 4
57 13 1
57 14 4
57 17 1
57 18 4
57 21 8
57 22 8
57 23 9
57 24 15
57 25 4
57 28 8
57 30 1
57 31 13
57 32 12
57 33 8
57 35 8
57 36 1
57 37 12
57 39 9
57 40 4
57 41 1
57 42 4
57 59 1
57 60 4
58 8 1
58 9 4
58 13 1
58 14 4
58 17 1
58 18 4
58 20 1
58 21 15
58 22 6
58 23 2
58 24 2
58 27 1
58 28 15
58 29 12
58 31 2
58 32 2
58 33 2
58 35 2
58 37 2
58 39 2
58 41 9
58 42 4
58 59 9
58 60 4
59 8 1
59 9 4
59 13 1
59 14 4
59 17 1
59 18 4
59 20 1
59 21 6
59 28 3
59 29 15
59 30 12
59 31 8
59 32 8
59 33 8
59 34 8
59 35 8
59 36 8
59 37 8
59 38 8
59 39 8
59 40 9
59 41 15
59 42 4
59 52 8
59 53 8
59 54 8
59 56 8
59 57 8
59 58 9
59 59 15
59 60 4
60 8 1
60 9 4
60 13 1
60 14 4
60 17 1
60 18 12
60 19 8
60 20 9
60 21 4
60 29 2
60 30 2
60 31 2
60 32 2
60 33 2
60 34 2
60 35 2
60 36 2
60 37 2
60 38 2
60 39 2
60 40 2
60 41 2
60 44 8
60 45 8
60 46 8
60 51 1
60 52 6
60 53 2
60 54 2
60 56 2
60 57 2
60 58 2
60 59 3
60 60 4
61 13 1
61 14 4
61 18 2
61 19 2
61 20 2
61 43 1
61 44 15
61 45 6
61 46 2
61 51 1
61 52 4
61 59 1
61 60 4
62 8 1
62 9 4
62 13 1
62 14 4
62 43 1
62 44 14
62 51 1
62 52 4
62 59 1
62 60 4
63 8 1
63 9 4
63 13 1
63 14 4
63 43 1
63 44 15
63 45 12
63 51 1
63 52 4
63 59 1
63 60 4
